id,text,estimated_label
513,پندارم آن که با تو ندارد تعلقی,saadi
514,که من دلشده این ره نه به خود می‌پویم,hafez
515,اگر تو بر دل آشفتگان ببخشایی,saadi
516,آن چنان وهم در تو حیران است,saadi
517,که زهر از کف دست او نوش بود,saadi
518,اگر عداوت و جنگ است در میان عرب,saadi
519,نزدیک من آن است که هر جرم و خطایی,saadi
520,چند شاید به صبر پنهان داشت,saadi
521,چنین که از همه سو دام راه می‌بینم,hafez
522,تو را که هر خم مویی کمند داناییست,saadi
523,این چنین با همه درساخته‌ای یعنی چه,hafez
524,سوگند به جانت ار فروشم,saadi
525,وین بوالعجبی و چشم بندی,saadi
526,ای بادیه هجران تا عشق حرم باشد,saadi
527,باشد کز آن میانه یکی کارگر شود,hafez
528,آفتابیست که در پیش سحابی دارد,hafez
529,در روی زمین دگر نباشد,saadi
530,ندیده‌ام مگر این شیوه از پری آموخت,saadi
531,کس ندانم که در این شهر گرفتار تو نیست,saadi
532,شدم به رغبت خویشش کمین غلام و نشد,hafez
533, بی‌دل گمان مبر که نصیحت کند قبول,saadi
534,صورت خوب آفرید و سیرت زیبا,saadi
535,طوعا و کرها بنده‌ام ناچار فرمان می‌برم,saadi
536,من سالخورده پیر خرابات پرورم,hafez
537,که می‌برد به افق پرچم سپاه ظلام,saadi
538,که بر مجنون رود لیلی طویلست,saadi
539,یا جام باده یا قصه کوتاه,hafez
540,آدم صفت از روضه رضوان به درآیی,hafez
541,هیهات از این خیال محالت که در سر است,saadi
542,وصال توست اگر دل را مرادی هست و مطلوبی,saadi
543,سر ما و در میخانه که طرف بامش,hafez
544,افسر سلطان گل پیدا شد از طرف چمن,hafez
545,که پیش چشم بیمارت بمیرم,hafez
546, در سرای مغان رفته بود و آب زده,hafez
547,کارفرمای قدر می‌کند این من چه کنم,hafez
548,کاول نظر به دیدن او دیده ور شدم,saadi
549,هر جامه که عیار بپوشد کفن است آن,saadi
550,گوش کشیده است از آن گوش به من نمی‌کند,hafez
551,ناگهش سیل فنا نقش امل باطل کرد,hafez
552,شاهدش دیدار و گفتن فتنه اش ابرو و چشم,saadi
553,مصدق دارمت والله اعلم,saadi
554,نشاید کرد و آتش زیر سرپوش,saadi
555,بی‌حاصلست یارا اوقات زندگانی,saadi
556,به هر طریق که باشد اسیر دشمن را,saadi
557,خود نه زبان در دهان عارف مدهوش,saadi
558,هر که این روی ببیند بدهد پشت گریز,saadi
559,که نه قوت گریزست و نه طاقت گزندت,saadi
560,هر چند پیر و خسته دل و ناتوان شدم,hafez
561,ز ما گر طاعت آید شرمساریم,saadi
562,دوشم نوید داد عنایت که حافظا,hafez
563,شیرین لبان نه شیر که شکر مزیده‌اند,saadi
564,ماه و خورشید به منزل چو به امر تو رسند,hafez
565,آوازه درست است که من توبه شکستم,saadi
566,ای سخت کمان سست پیمان,saadi
567,باغبانان به شب از زحمت بلبل چونند,saadi
568,زین در دگر نراند ما را به هیچ بابی,hafez
569,گرم قرار نباشد که داغ هجران است,saadi
570,چون آدمی طمع نکند در سماحتش,saadi
571,قلب رقیق چند بپوشد حدیث عشق,saadi
572,سعدی به خفیه خون جگر خورد بارها,saadi
573,یک دمه دیدار دوست هر دو جهانش بهاست,saadi
574,باور از مات نباشد تو در آیینه نگه کن,saadi
575,آیینه‌ای طلب کن تا روی خود ببینی,saadi
576,بو که از لوح دلت نقش جهالت برود,saadi
577,که مستخلص نمی‌گردد بهاری بی زمستانی,saadi
578,پادشاهی کنم ار سایه به من برفکنی,saadi
579,پدرم نیز بهشت ابد از دست بهشت,hafez
580,چشمی و هزار دانه لولو,saadi
581, ز دلبرم که رساند نوازش قلمی,hafez
582,که پشه‌ای نبرد سنگ آسیایی را,saadi
583,پری رویا چرا پنهان شوی از مردم چشمم,saadi
584,ز اثر رنگ و بوی صحبت اوست,hafez
585,که علم عشق در دفتر نباشد,saadi
586,که سراپای بسوزند من بی سر و پا را,saadi
587,دیوار سرایت را نقاش نمی‌باید,saadi
588,غلام نرگس مست تو تاجدارانند,hafez
589,ساقی به مژدگانی عیش از درم درآی,hafez
590,لقد اطعت ولکن حبه آبی,saadi
591,مگر به درد دلی بازمانده‌ام یا رب,saadi
592,ای که با زلف و رخ یار گذاری شب و روز,hafez
593,داور دین شاه شجاع آن که کرد,hafez
594,مست است یار و یاد حریفان نمی‌کند,hafez
595,تو قلم نیستی که نیشکری,saadi
596,در عالم وصفش به جهانی برسیدم,saadi
597,باز با دلشدگان ناز و عتابی دارد,hafez
598,زهی سوار که صد دل به غمزه‌ای ببری,saadi
599,به شرط آن که ز مجلس سخن به در نرود,saadi
600,ور با تو بود دوزخ در سلسله آویزم,saadi
601,زهر اگر در مذاق من ریزی,saadi
602,با صبا همراه بفرست از رخت گلدسته‌ای,hafez
603,تن آسوده چه داند که دل خسته چه باشد,saadi
604,در آن شمایل مطبوع هیچ نتوان گفت,saadi
605,سوز عشقت ننشاند ز جگر جوش مرا,saadi
606,تا مگر زنده شوم زآن نفس روحانی,saadi
607,وین نباشد مگر آن وقت که رای تو بود,saadi
608,ندیده‌اند مگر دلبران بت رو را,saadi
609,ساقی به دست باش که غم در کمین ماست,hafez
610,وعده از حد بشد و ما نه دو دیدیم و نه یک,hafez
611,به زلف گوی که آیین دلبری بگذار,hafez
612,میان عیب و هنر پیش دوستان کریم,saadi
613, دیر آمدی‌ای نگار سرمست,saadi
614,که حکم آسمان این است اگر سازی و گر سوزی,hafez
615,تو دوستی کن و از دیده مفکنم زنهار,saadi
616,باز بر قامت زیبای تو چالاکترست,saadi
617,نام حافظ گر برآید بر زبان کلک دوست,hafez
618,ای بسا رخ که به خونابه منقش باشد,hafez
619,دوله القی بمن القی بروحی فی الخطر,saadi
620,زنهار سعدی از دل سنگین کافرش,saadi
621,دانی که چیست دولت دیدار یار دیدن,saadi
622,دانند عاقلان که مجانین عشق را,saadi
623,تا در این خرقه ندانی که چه نادرویشم,hafez
624,گر چه لایق نبود دست من و دامن تو,saadi
625,تا دم صبح قیامت نگران خواهد بود,hafez
626,مشکل به دست آرد کسی مانند تو شهباز را,saadi
627,تو خود ای گوهر یک دانه کجایی آخر,saadi
628,که نه این نوبت نخستینست,saadi
629,غبار راه طلب کیمیای بهروزیست,hafez
630,باری غرور از سر بنه و انصاف درد من بده,saadi
631,چو مور افتان و خیزان رفت باید,saadi
632,هر گه که گویم این دل ریشم درست شد,saadi
633,بار یاران بکش که دامن گل,saadi
634,صوفی نظر نبازد جز با چنین حریفی,saadi
635,سواد نامه موی سیاه چون طی شد,hafez
636,که بر گلبن گل سوری چنین زیبا نمی‌باشد,saadi
637,چاره ما هیچ نیست جز سپر انداختن,saadi
638, آخر ای سنگ دل سیم زنخدان تا چند,saadi
639,کاندر ازلم حرز تو بستند به بازوی,saadi
640,تکیه بر عهد تو و باد صبا نتوان کرد,hafez
641,که نه با تیر و کمان در پی او تاخته‌ای,saadi
642,مرا خیال کسی کز خیال بیرونست,saadi
643,چندان که تو می‌خوری ندیدم,saadi
644,مگر شمایل قد نگار من دارد,saadi
645,در همه شهر فراهم ننشست انجمنی,saadi
646,سعدیا بی وجود صحبت یار,saadi
647,مطربا مجلس انس است غزل خوان و سرود,hafez
648,اگر چه در پی ام افتند هر دم انجمنی,hafez
649,بو که صاحب نظری نام تماشا ببرد,saadi
650,وان ستمگر عزم هجران می‌کند,saadi
651,واجب کند که صبر کنی بر جراحتش,saadi
652,که ساقیان کمان ابرویت زنند به تیر,saadi
653,برای وصل گل آمد برون ز بیت حزن,hafez
654,سرمست درآمد از خرابات,saadi
655,که موسم طرب و عیش و ناز و نوش آمد,hafez
656,که با شکردهنان خوش بود سؤال و جواب,saadi
657,علی‌الخصوص که از دست یار زیباخوست,saadi
658,تو هم بازآمدی ناچار و ناکام,saadi
659,دمی با دوست در خلوت به از صد سال در عشرت,hafez
660,من جرب المجرب حلت به الندامه,hafez
661,خنک آن روز که در پای تو جان اندازم,saadi
662,هر چه کوته نظرانند بر ایشان پیمای,saadi
663, واعظان کاین جلوه در محراب و منبر می‌کنند,hafez
664,لیکن این حال محال است که پنهان ماند,saadi
665,بلا بگردد و کام هزارساله برآید,hafez
666,ای که ملامت کنی عارف دیوانه را,saadi
667,چو به منتها رسد گل برود قرار بلبل,saadi
668,سیمرغ ما چه لایق زاغ آشیان توست,hafez
669,مردم زیر زمین رفتن او پندارند,saadi
670,ای دل به هرزه دانش و عمرت به باد رفت,hafez
671,عمر من است زلف تو بو که دراز بینمش,saadi
672,ز من حکایت هجران مپرس در شب وصل,hafez
673,و از انتصاف آصف جم اقتدار هم,hafez
674,هم با تو گر ز دست تو دارم شکایتی,saadi
675,که بی رخ تو فروغ از چراغ دیده ندیدم,hafez
676, دلا بسوز که سوز تو کارها بکند,hafez
677,چون بخت نیک انجام را با ما به کلی صلح شد,saadi
678,بدان شمع خلوتگه پارسایی,hafez
679,در خرقه چو آتش زدی ای عارف سالک,hafez
680,نقش خیالی می‌کشم فال دوامی می‌زنم,hafez
681,ای که با سلسله زلف دراز آمده‌ای,hafez
682,ای خیال ار شبی از رهگذرم برخیزی,saadi
683,عشق و سودا و هوس در سر بماند,saadi
684,همیشه تا که بود متصل مسا و صباح,hafez
685,بیا بیا صنما کز سر پریشانی,hafez
686,تو به حال من مسکین به جفا می‌نگری,saadi
687,عمر به نقد می‌رود در سر گفت و گوی او,saadi
688,همی‌گفت این معما با قرینی,hafez
689,ساکن شود بدیدم و مشتاق‌تر شدم,saadi
690,ساقیان لاابالی در طواف,hafez
691,می دوساله و محبوب چارده ساله,hafez
692,می‌گشتم اندر آن چمن و باغ دم به دم,hafez
693,قصّةُ العشقِ لا انفصام لها,saadi
694,در عهد موسی می‌کند آواز گاو سامری,saadi
695,به دوستی که اگر زهر باشد از دستت,saadi
696,سیر نمی‌شود نظر بس که لطیف منظری,saadi
697, معلمت همه شوخی و دلبری آموخت,saadi
698,به دو چشم تو که گر بی تو برندم به بهشت,saadi
699,مدعیم گر نکنم جان نثار,hafez
700,تا با درخت گل بنشینم به بوی دوست,saadi
701,ور ببندی سر به در بر می‌زند,saadi
702,با طبیب نامحرم حال درد پنهانی,hafez
703,گر شما را نه بس این سود و زیان ما را بس,hafez
704,خاطرت کی رقم فیض پذیرد هیهات,hafez
705,کانجا که ارادت بود انکار نباشد,saadi
706, چه جرم رفت که با ما سخن نمی‌گویی,saadi
707,چه کنم پای بند احسانم,saadi
708,نظر به صفحه اول مکن که تو بر توست,saadi
709,زان جان و دلم همی فکار است,saadi
710,معاف دوست بدارند قتل عمدا را,saadi
711,باز کردند بامداد دری,saadi
712,تا وقت جان سپردنم اندر نظر بود,saadi
713,دلبری برگزیده‌ام که مپرس,hafez
714,ز من چو باد صبا بوی خود دریغ مدار,hafez
715,من با همه جوری از تو خشنودم,saadi
716,بر سر خوان لبت دست چو من درویشی,saadi
717,صفت یوسف نادیده بیان می‌کردند,saadi
718,مذاق حرص و آز ای دل بشو از تلخ و از شورش,hafez
719,به بام قصر برآ و چراغ مه برکن,hafez
720,خوشا کسی که در این راه بی‌حجاب رود,hafez
721, پای سرو بوستانی در گلست,saadi
722,تا در آن آب و هوا نشو و نمایی بکنیم,hafez
723,بزه کردی و نکردند مؤذنان ثوابی,saadi
724,اگر چه روی چو ماهت ندیده‌ام به تمامی,saadi
725,ایمنی از خروش من گر به جهان دراوفتد,saadi
726,به هیچ عارضه شخص تو دردمند مباد,hafez
727,چون نیفتد سخن در افواهم,saadi
728,شکنج گیسوی سنبل ببین به روی سمن,hafez
729,چرا که شیوه آن ترک دل سیه دانست,hafez
730,خفته بر سنجاب شاهی نازنینی را چه غم,hafez
731,دم عیسیست پنداری نسیم باد نوروزی,saadi
732,صلاح ما همه دام ره است و من زین بحث,hafez
733,شیرین بضاعت بر مگس چندان که تندی می‌کند,saadi
734,که نه تنها منم ربوده عشق,saadi
735,مگر آنست که با دوست به پایان آرند,saadi
736,سرو بین کاهنگ صحرا می‌کند,saadi
737,ز عقل اندیشه‌ها زاید که مردم را بفرساید,hafez
738,حاصل آن است که چون طبل تهی پربادم,saadi
739,کیست آن کش سر پیوند تو در خاطر نیست,saadi
740,خفتگان را خبر از محنت بیداران نیست,saadi
741,زمام خاطر بی‌اختیار من دارد,saadi
742,زاهدان معذور داریدم که اینم مذهب است,hafez
743,نتوانم که حکایت کنم الا به حضور,saadi
744,حدیث عقل در ایام پادشاهی عشق,saadi
745,روی تو بازار آفتاب شکسته‌ست,saadi
746,چو زر عزیز وجود است نظم من آری,hafez
747,این بار پرده از سر اسرار برگرفت,saadi
748,به اختیارت اگر صد هزار تیر جفاست,hafez
749,دست از طلب ندارم تا کام من برآید,saadi
750,به بوی زلف و رخت می‌روند و می‌آیند,hafez
751,دلارامی بدین خوبی دریغ ار مهربانستی,hafez
752,تا ندیدی گدای بازارش,saadi
753,دیده فتح ابد عاشق جولان تو باد,hafez
754,شاهد ما را نه هر چشمی چنان بیند که هست,saadi
755,مرا تا نقره باشد می‌فشانم,saadi
756,حافظ اندیشه کن از نازکی خاطر یار,hafez
757,شراب سلسبیل از چشمه نوش,hafez
758,صید بیابان عشق چون بخورد تیر او,saadi
759,کاش باری باغ و بستان را که تحسین می‌کنند,saadi
760,در بند تو افتادم و از جمله برستم,saadi
761,به که دیدن میان اغیارش,saadi
762,وین عجب کان وقت می‌گریم که کس بیدار نیست,saadi
763,من که باشم در آن حرم که صبا,hafez
764,چون رفت نیاید به کمند آن دم و ساعت,saadi
765,زان سوی بحر آتش اگر خوانیم به لطف,hafez
766,من گرفتار کمندم تو چه دانی که سواری,saadi
767,چون بر او باد صبایی می‌زند,saadi
768,چرا که حافظ از این راه رفت و مفلس شد,hafez
769,صورت سنگین دلی کشنده سعدیست,saadi
770,صوفی مجلس که دی جام و قدح می‌شکست,hafez
771,آنست آدمی که در او حسن سیرتی,saadi
772,هر چه خواهی کن که ما را با تو روی جنگ نیست,saadi
773,گویی چه شد کان سروبن با ما نمی‌گوید سخن,hafez
774,تا غباری ننشیند به دل خرم دوست,saadi
775,پرده بردار ای بهار و لاله و نسرین من,hafez
776,که باری من ندیدستم چنین گل در گلستانی,saadi
777,می‌نگفتم سخن در آتش عشق,saadi
778,از آن خوش است که امید رحمت فرداست,hafez
779,دیوان حساب و عرض منشور,saadi
780,آدمی در عالم خاکی نمی‌آید به دست,saadi
781,فریاد سعدی از دل نامهربان دوست,saadi
782,گرت معاونتی دست می‌دهد دریاب,saadi
783,گر باز کنند از شکن زلف تو تابی,saadi
784,گوشوار زر و لعل ار چه گران دارد گوش,hafez
785,تو بدین چشم مست و پیشانی,saadi
786, دولت جان پرورست صحبت آموزگار,saadi
787,که هیچ خلق نبینی به حسن و منظر خویش,saadi
788,درخت دوستی بنشان که کام دل به بار آرد,hafez
789,گفتم از آسیب عشق روی به عالم نهم,saadi
790,طرفه مدار اگر ز دل نعره بیخودی زنم,hafez
791, دریچه‌ای ز بهشتش به روی بگشایی,saadi
792,کار ما همچو سحر با نفسی افتاده‌ست,saadi
793,زین گلبنان هنوز مگر گل نچیده‌اند,saadi
794,هر ساعتی این فتنه نوخاسته از جای,hafez
795,فتنه انگیزی و خون ریزی و خلقی نگرانت,saadi
796,چراغ چون تو نباشد به هیچ خانه ولیکن,saadi
797,خیز و در کاسه زر آب طربناک انداز,hafez
798,زاهد بنگر نشسته دلتنگ,saadi
799,بتا چون غمزه‌ات ناوک فشاند,hafez
800,ای همه شکل تو مطبوع و همه جای تو خوش,saadi
801,امثال تو از صحبت ما ننگ ندارند,saadi
802,حق را به روزگار تو با ما عنایتی,saadi
803,حکمش رسد ولیکن حدی بود جفا را,saadi
804,بی دلی در همه احوال خدا با او بود,hafez
805,گونهٔ زردش دلیل ناله زارش گواست,saadi
806,نتواند که کند دعوی همبالایی,saadi
807, شکست عهد مودت نگار دلبندم,saadi
808,گلبن عیش می‌دمد ساقی گلعذار کو,hafez
809,نوبهار است در آن کوش که خوشدل باشی,hafez
810,من از تو روی نپیچم که شرط عشق آن است,saadi
811,من همی‌کردم دعا و صبح صادق می‌دمید,hafez
812,ز بانگ ناله من گوش چرخ کر می‌گشت,saadi
813,بریده‌اند لطافت چو جامه بر بدنش,saadi
814,فلا تفرد عن روضها انین حمامی,saadi
815,سیاه نامه‌تر از خود کسی نمی‌بینم,hafez
816,دریا در و مرجان بود و هول و مخافت,saadi
817, کس درنیامدست بدین خوبی از دری,saadi
818,میان عاشق و معشوق هیچ حائل نیست,hafez
819,آن که فکرش گره از کار جهان بگشاید,hafez
820,درخت ارغوان روید به جای هر مغیلانی,saadi
821,ای خواجه درد نیست وگرنه طبیب هست,hafez
822,محتسب گو تا ببیند روی دوست,saadi
823,ور شکایت کنم از دست تو پیش که برم,saadi
824,هرک اوفتاد مست محبت ز جام دوست,saadi
825,خطا نگر که دل امید در وفای تو بست,hafez
826,ورت خجالت سرو آرزو کند بخرام,saadi
827,آن سیل که دوش تا کمر بود,hafez
828,شاید که چو وابینی خیر تو در این باشد,hafez
829,چه دشمنی تو که از عشق دست و شمشیرت,saadi
830,به خواب دوش چنان دیدمی که زلفینش,saadi
831,که رفت عمر و هنوزم دماغ پر ز هواست,hafez
832,دور از لب مردمان دون باد,hafez
833,یکی درخت گل اندر فضای خلوت ماست,saadi
834,به صفای دل رندان صبوحی زدگان,hafez
835,چو برشکست صبا زلف عنبرافشانش,saadi
836,فتاد در سر حافظ هوای میخانه,hafez
837,الا ای ترک آتشروی ساقی,saadi
838,دانم که بگذرد ز سر جرم من که او,saadi
839,چو تلخ عیشی من بشنوی به خنده درآی,saadi
840,یک امشبی که در آغوش شاهد شکرم,saadi
841,دلا دلالت خیرت کنم به راه نجات,hafez
842,دمی با همدمی خرم ز جانم بر نمی‌آید,saadi
843,به ترک عشق تو گفتن نه طبع موزونست,saadi
844,چنگ بنواز و بساز ار نبود عود چه باک,hafez
845, ای آفتاب آینه دار جمال تو,hafez
846,حیرت عشاق را عیب کند بی بصر,saadi
847,بروید چون تو سروی بر لب جوی,saadi
848,کشتی عمرم شکسته‌ست از غمش,saadi
849,بسا هوشمندا که در کوی عشق,saadi
850,که هر که بی‌هنر افتد نظر به عیب کند,hafez
851,که زیارتگه رندان جهان خواهد بود,hafez
852,ز آهنین چنگال شاهین غمت,saadi
853,پیش خصم ایستاده چون سپری,saadi
854,دامن دوست به دنیا نتوان داد از دست,saadi
855,دستی به کام دل ز سپهر دغا که برد,hafez
856,مگر در آینه بینی و گر نه در آفاق,saadi
857,سعدیا گفتار شیرین پیش آن کام و دهان,saadi
858,پاکبازان بر شمشیر تو عمدا آیند,saadi
859,گر بکشم زهی طرب ور بکشد زهی شرف,hafez
860,ز ورد نیم شب و درس صبحگاه رسید,hafez
861,جفای عشق تو بر عقل من همان مثل است,saadi
862,کاشکی خاک بودمی در راه,saadi
863,به تیغ هندی دشمن قتال می‌نکند,saadi
864,صحبت حور نخواهم که بود عین قصور,hafez
865,این زمان سر به ره آرم چه حکایت باشد,saadi
866,عیش‌ها دارم در این آتش که بینی دم به دم,saadi
867,ببند یک نفس ای آسمان دریچه صبح,saadi
868,همواره مرا کوی خرابات مقام است,hafez
869,نه بی او می‌توان بودن نه با او می‌توان گفتن,saadi
870,گر ز پیش خود برانی چون سگ از مسجد مرا,saadi
871,به زان که خرقه بر سر زنار می‌کنم,hafez
872,گر به خون تشنه‌ای اینک من و سر باکی نیست,saadi
873,آن گه بگویمت که دو پیمانه درکشم,hafez
874,نثار خاک رهت نقد جان من هر چند,hafez
875,به قهر اگر بستیزد هزار تن بکشد,saadi
876,بند بر پای توقف چه کند گر نکند,saadi
877,تو از غرور جوانی همیشه در خوابی,hafez
878,وز تو بخشایش تو می‌خواهم,saadi
879,یا دل از چنبر عشق تو به من وانرسد,saadi
880,چراغ دولتش نوری ندارد,hafez
881,هر ناله و فریاد که کردم نشنیدی,hafez
882,طمع در آن لب شیرین نکردنم اولی,hafez
883,چون نرود بنده‌وار هر که برندش اسیر,saadi
884,بس غریب افتاده است آن مور خط گرد رخت,hafez
885,که ندانم به خویشتن پرداخت,saadi
886,عمری که بی حضور صراحی و جام رفت,hafez
887,یا ببندد خون از این موضع که سوزن می‌بری,saadi
888,در راه عشق وسوسه اهرمن بسیست,hafez
889,گواهی می‌دهد صورت بر اخلاقش به زیبایی,saadi
890,بلای عشق تو بنیاد زهد و بیخ ورع,saadi
891,پیغام دوستان برسانی بدان پری,saadi
892,همه عالم صنم چین به حکایت گویند,saadi
893,که بر دل است ندانم کدام برگیرم,saadi
894,من از کمند تو اول چو وحش می‌برمیدم,saadi
895,دیده بردوختی از خلق جهان چون بازم,saadi
896,اعتقادی بنما و بگذر بهر خدا,hafez
897,نفس باد صبا مشک فشان خواهد شد,hafez
898,ساقی چمن گل را بی روی تو رنگی نیست,hafez
899,گل بخندید که از راست نرنجیم ولی,hafez
900,گر آن شیرین پسر خونم بریزد,saadi
901,که هم نادیده می‌بینی و هم ننوشته می‌خوانی,hafez
902,هر که روی یاسمین و جعد سنبل بایدش,hafez
903,گر واسطه سخن نبودی,saadi
904,زنهار نگویی این نه نیکوست,saadi
905,گرگ دهن آلوده یوسف ندریده,saadi
906,تو پادشاه کجا یاد پاسبان آری,hafez
907,شمع من روز نیامد که شبم بفروزی,hafez
908,قیمت وصل نداند مگر آزرده هجر,saadi
909,بنشین که به خاطر بگرفتست نشانت,saadi
910,فرخنده آن کسی که به سمع رضا شنید,saadi
911,وز پی دیدن او دادن جان کار من است,hafez
912,حذر کنید ز باران دیده سعدی,saadi
913,دلم در بند تنهایی بفرسود,saadi
914,دست طلب داشتن ز دامن معشوق,saadi
915,که مکدر شود آیینه مهرآیینم,hafez
916,حق نگه دار که من می‌روم الله معک,hafez
917,سیرتی چون صورت مستحسنت,saadi
918, ای سروبالای سهی کز صورت حال آگهی,saadi
919, چشم خدا بر تو ای بدیع شمایل,saadi
920,ره ندیدم چو برفت از نظرم صورت دوست,saadi
921, دو چشم مست تو کز خواب صبح برخیزند,saadi
922,خرم تن او که چون روانش,saadi
923,آتشی بر سرم از داغ جدایی می‌رفت,saadi
924,نرسیدی بگرد جولانت,saadi
925,راز سربسته ما بین که به دستان گفتند,hafez
926,بجز پیشت نخواهم سر نهادن,saadi
927,پس چه فرق از ناطقی تا جامدی,saadi
928,تویی که بر سر خوبان کشوری چون تاج,saadi
929,من و انکار شراب این چه حکایت باشد,hafez
930,ای رقیب این همه سودا مکن و جنگ مجوی,saadi
931,مرا به علت بیگانگی ز خویش مران,saadi
932,عمریست پادشاها کز می تهیست جامم,hafez
933, دست با سرو روان چون نرسد در گردن,saadi
934,به ناز اگر بخرامی جهان خراب کنی,hafez
935,می خور که صد گناه ز اغیار در حجاب,hafez
936,که زاد این صورت منظور محبوب,saadi
937,به راه میکده حافظ خوش از جهان رفتی,hafez
938,پس از چندین تحمل‌ها که زیر بار غم کردی,saadi
939,گو بیامرز که من حامل اوزار تو باشم,saadi
940,یا بگریزم به چه مردانگی,saadi
941,چشم بد را گفتم الحمدی بدم پیرامنش,saadi
942,الا که بریزد استخوانم,saadi
943,نه ممکن است که مثل نگار ما باشد,saadi
944,نتوان مرد به سختی که من این جا زادم,saadi
945,چو نسرین صد گل آرد بار و چون بلبل هزار آرد,hafez
946,همه در سایه گیسوی نگار آخر شد,hafez
947,ربیع العمر فی مرعی حماکم,hafez
948,سبز است در و دشت بیا تا نگذاریم,hafez
949,گر منش دوست ندارم همه کس دارد دوست,saadi
950,برقی از منزل لیلی بدرخشید سحر,hafez
951,با طبع ملولت چه کند دل که نسازد,saadi
952,آن گاه توبه استغفرالله,hafez
953,سروقدی میان انجمنی,saadi
954,نه مرا طاقت غربت نه تو را خاطر قربت,saadi
955,باخبر از درد من الا خبیر,saadi
956,وان که با یار هودجش نظر است,saadi
957,آمد به گوش ناگهم آواز بلبلی,hafez
958,خورشید اگر تو روی نپوشی فرو رود,saadi
959,چو ذکر خیر طلب می‌کنی سخن این است,hafez
960,گفت خود دادی به ما دل حافظا,hafez
961,مداد نیست کز او می‌رود زلال است این,saadi
962,شعری بخوان که با او رطل گران توان زد,hafez
963,ما نیز در رقص آوریم آن سرو سیم اندام را,saadi
964,از بس که دیر ماندی چون شام روزه داران,saadi
965,راحت جان باشد از آن قبضه تیغ,saadi
966,پیل اگر دربند می‌افتد مسخر می‌شود,saadi
967,که هشیاران نیاویزند با مست,saadi
968,این قدر هست که گه گه قدحی می نوشم,hafez
969,انگار که خاک آستانم,saadi
970,آفتاب آسا کند در شب تجلی روی تو,saadi
971,دست رنج تو همان به که شود صرف به کام,saadi
972,در گلستان ارم دوش چو از لطف هوا,hafez
973,اگر نه عقل به مستی فروکشد لنگر,hafez
974,گر مطیع خدمتت را کفر فرمایی بگوید,saadi
975,گر ملامت می‌کنندم ور قیامت می‌شود,saadi
976,که گر هلاک شوی منتی پذیر از دوست,saadi
977,من در پناه لطف تو خواهم گریختن,saadi
978,تا بدیدم ز سنگ سختتری,saadi
979,چون از این غصه ننالیم و چرا نخروشیم,hafez
980,سعدی شیرین زبان این همه شور از کجا,saadi
981,مرا مپرس که چونی به هر صفت که تو خواهی,saadi
982, خلاف سرو را روزی خرامان سوی بستان آی,saadi
983,رفتن آسان بود ار واقف منزل باشی,hafez
984,اگر روم ز پی اش فتنه‌ها برانگیزد,hafez
985,غافل از صوفیان شاهدباز,saadi
986,گر سرو بوستانت بیند که می‌خرامی,saadi
987,سیمرغ چه می‌کند به عصفور,saadi
988,لیکن چه توان کرد که قوت نتوان کرد,hafez
989,گویی دو چشم جادوی عابدفریب او,saadi
990,می‌روی و مقابلی غایب و در تصوری,saadi
991,سعدیا چاره ثباتست و مدارا و تحمل,saadi
992,تا به بستان ضمیرت گل معنی بشکفت,saadi
993,دگر چه چاره که با زورمند برنایند,saadi
994,با بلبلان بی‌دل شیدا مکن غرور,saadi
995, دل من در هوای روی فرخ,hafez
996,تو با این لطف طبع و دلربایی,hafez
997,در این سخن که بخواهند برد دست به دست,saadi
998,جان به هوای کوی او خدمت تن نمی‌کند,hafez
999, مجلس ما دگر امروز به بستان ماند,saadi
1000,پندش مده که جهل در او نیک محکمست,saadi
1001,آن غالیه خط گر سوی ما نامه نوشتی,hafez
1002,محمل بدار ای ساروان تندی مکن با کاروان,saadi
1003,ما حسبت الان الا قد هجم,saadi
1004,چل سال رنج و غصه کشیدیم و عاقبت,hafez
1005,صنم ماست که در هر خم زلفش چینیست,saadi
1006,برگ چشمم می‌نخوشد در زمستان فراقت,saadi
1007,من با کسی افتاده‌ام کز وی نپردازم به کس,saadi
1008,دامن گوهر بیار بر سر مجلس ببار,hafez
1009,نظیر دوست ندیدم اگر چه از مه و مهر,saadi
1010,کوه بنالد به زبان صدا,hafez
1011,بدر تمام روزی در آفتاب رویت,saadi
1012,اسیر خویش گرفتی بکش چنان که تو دانی,saadi
1013,مسند به گلستان بر تا شاهد و ساقی را,hafez
1014,نوبه زهدفروشان گران جان بگذشت,hafez
1015,مزن ز چون و چرا دم که بنده مقبل,hafez
1016,گرت اندیشه می‌باشد ز بدگویان بی معنی,saadi
1017,مهل که روز وفاتم به خاک بسپارند,hafez
1018, صید بیابان عشق چون بخورد تیر او,saadi
1019,ور کسی گفت مگر هم تو زبانش باشی,saadi
1020,شبی خوش هر که می‌خواهد که با جانان به روز آرد,saadi
1021,لبان لعل چون خون کبوتر,saadi
1022,درازنای شب از چشم دردمندان پرس,saadi
1023,صد بار توبه کرد و دگربار می‌کند,saadi
1024,یا لیت شعری حتام القاه,hafez
1025,گو به شیراز آی و خاک من ببوی,saadi
1026,یک بار بگو که کشتهٔ ماست,saadi
1027,که ما را دور کرد از دوستداران,hafez
1028, ز در درآ و شبستان ما منور کن,hafez
1029,ملامت من مسکین کسی کند که نداند,saadi
